Mean R,Mean G,Mean B,Std R,Std G,Std B,Edge Intensity
56.83546440972222,40.134373914930556,32.151590711805554,56.06496209301879,43.71409834327397,33.68732052416114,2.455094401041667
55.944721137152776,39.56991427951389,31.708853081597223,55.516329366982475,43.19366211663658,33.25670675255476,2.571305338541667
55.384899088541665,39.201687282986114,31.488670789930556,55.05946998357516,42.657772413646526,32.75102299273606,2.42548828125
54.87787000868055,38.80410698784722,31.20761935763889,54.62233149463925,42.13425667264104,32.225221520093235,2.508772786458333
54.27190972222222,38.40078884548611,30.868245442708332,54.02471268548057,41.5618644588379,31.733835197247096,2.561897786458333
54.23519856770833,38.25304470486111,30.991561414930555,53.91762107929588,41.43382654111586,31.704269467045815,2.490234375
53.30534396701389,37.66130099826389,30.34283203125,53.103097810170546,40.87243708249244,31.201859044984978,2.5311848958333334
52.65832465277778,37.131626519097225,29.996705729166667,52.38617089628071,40.230691616633344,30.814513224376025,2.496044921875
52.568866102430555,37.10949110243055,29.986244574652776,52.18900358872278,40.19596388665357,30.844547486032198,2.479996744791667
52.542498914930555,37.148486328125,30.005666232638887,52.10258222907425,40.324026713736124,31.02131216078326,2.710205078125
52.81791775173611,37.34740342881945,30.22053927951389,52.229381609516736,40.57870888122904,31.336161922940057,2.5273111979166667
52.80724500868055,37.343860677083335,30.251612413194444,52.204417120723114,40.63182154084493,31.45212343173285,2.5602376302083334
52.36708333333333,37.00080186631944,29.967081163194443,51.776649910241446,40.24833052758565,31.158363583598188,2.620833333333333
52.04830946180556,36.748661024305555,29.86078559027778,51.42024768444773,39.882386242028936,30.91793623834509,2.5071126302083333
52.07581163194445,36.77356119791666,29.873497178819445,51.423632522161974,39.865362920628435,30.90906547305761,2.560791015625
52.20590169270833,36.86859049479167,29.904825303819443,51.40359562651099,39.86334300942399,30.920336585599006,2.7126953125
52.702198350694445,37.249765625,30.26665473090278,51.7072583231283,40.12134518387883,31.189940877766684,2.38232421875
53.35907118055555,37.739047309027775,30.673317057291666,52.190734494935995,40.53530403090457,31.55762875366653,2.675895182291667
53.76553927951389,38.06300998263889,30.86578884548611,52.497827387163845,40.8211542610882,31.76673444464413,2.7063313802083333
54.136728515625,38.38362738715278,31.155938585069446,52.77699245986145,41.01353013377725,31.886056269523284,2.537548828125
54.453471137152775,38.64189236111111,31.35842990451389,53.12849027361651,41.281847857053414,32.03773676198484,2.596484375
54.448499348958336,38.72520616319444,31.367268880208332,53.223222144820156,41.40743083282233,32.08896321116555,2.728743489583333
54.66493055555556,38.922360026041666,31.546702473958334,53.46430468619451,41.58240531622114,32.17831105157359,2.6529296875
54.800350477430555,39.03611870659722,31.59973090277778,53.632814339528565,41.678625116232055,32.19278650502182,2.711311848958333
54.68906901041667,38.985669487847225,31.497024739583335,53.576112981650525,41.633874983517195,32.082915984928114,2.691666666666667
54.743205295138885,39.01801866319445,31.565960286458335,53.661432000271844,41.63570465226179,32.064345137600846,2.50517578125
54.86134765625,39.088115234375,31.629256727430555,53.83005856179791,41.7280557326367,32.09162420859697,2.579329427083333
54.96451714409722,39.140360243055554,31.61611111111111,53.80752871251834,41.698892558127916,32.016125480449375,2.661507161458333
55.48678819444444,39.39865125868056,32.02217664930556,54.0760469453521,41.82951574290764,32.22332722812341,2.58486328125
55.33900499131944,39.37312934027778,31.774503038194446,53.93260578196094,41.76829849658663,32.01969062555749,2.6617838541666665
55.554102647569444,39.59275065104167,32.00614149305556,54.06550339248465,41.895661177858244,32.139769512626074,2.4941080729166667
55.78212673611111,39.75169162326389,32.12376519097222,54.28885859886734,42.10136435430906,32.2710532845206,2.572135416666667
55.823314887152776,39.76903537326389,32.072942708333336,54.34296369110677,42.15228479520771,32.260210695499794,2.6548665364583335
56.17796983506945,39.86031467013889,32.333743489583334,54.55659711108007,42.218384422280444,32.35778110578815,2.565771484375
56.04674262152778,39.828929036458334,32.06647352430556,54.46913919856976,42.19254157264099,32.204183137775615,2.69609375
56.23967556423611,39.932454427083336,32.178142361111114,54.60053216123334,42.292667415471385,32.278337526300945,2.4440266927083334
56.39341688368056,40.01096896701389,32.23763888888889,54.766801695856714,42.43117151958754,32.37059046659935,2.488020833333333
56.433515625,40.043453776041666,32.176487630208335,54.86731917165745,42.552774637635,32.438941125958934,2.60146484375
56.621502821180556,40.13534505208333,32.28798177083333,55.034023374750845,42.667839668335894,32.5408858489536,2.4418131510416665
56.66168185763889,40.177240668402774,32.33455837673611,55.103395950133496,42.7244501298413,32.58933809743357,2.533675130208333
56.53605577256945,40.094440104166665,32.198856336805555,55.05935126189076,42.707262541293495,32.5362995467054,2.553597005208333
56.63157986111111,40.14552951388889,32.317332899305555,55.16483331563221,42.775837145055355,32.63292782163205,2.535888671875
56.630061848958334,40.11842013888889,32.315570746527776,55.20984390737732,42.804049653861526,32.66142902442506,2.5239908854166666
56.49476779513889,40.02949327256945,32.17917100694444,55.16754763867882,42.79636477879936,32.60597133859749,2.5967610677083335
56.547855902777776,40.04416666666667,32.23749782986111,55.22495822151075,42.84842567384403,32.66819490060546,2.277457682291667
56.62948784722222,40.11485243055556,32.30384114583333,55.37934797871125,42.965178956374295,32.78705942337666,2.490234375
56.55583875868056,40.079046223958336,32.19230577256945,55.39486456781357,43.012852626481866,32.7727233250686,2.500748697916667
56.754008246527775,40.21706922743056,32.345295138888886,55.565561956862354,43.169027571842065,32.91731982470018,2.52841796875
